#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LepA	rpl16	295358.mhp079	295358.mhp195	0	0	0	0	0.075	0.950	0	0	0.951
LepA	rplS	295358.mhp079	295358.mhp096	0.196	0	0	0	0.116	0.950	0	0	0.961
LepA	rpl15	295358.mhp079	295358.mhp206	0	0	0.196	0	0.115	0.950	0	0	0.961
LepA	rpl21	295358.mhp079	295358.mhp250	0.095	0	0	0	0.234	0.950	0	0	0.962
LepA	rpl6	295358.mhp079	295358.mhp203	0	0	0	0	0.113	0.950	0	0	0.953
LepA	rpl14	295358.mhp079	295358.mhp198	0	0	0	0	0.110	0.950	0	0	0.953
LepA	rps10	295358.mhp079	295358.mhp186	0	0	0.181	0	0.112	0.951	0	0	0.961
LepA	rpl22	295358.mhp079	295358.mhp193	0	0	0	0	0.110	0.952	0	0	0.955
LepA	rpsG	295358.mhp079	295358.mhp084	0	0	0	0	0.153	0.952	0	0	0.957
LepA	rpsI	295358.mhp079	295358.mhp671	0.140	0	0	0	0.278	0.950	0	0	0.966
LepA	rps3	295358.mhp079	295358.mhp194	0	0	0	0	0.095	0.950	0	0	0.952
LepA	rplM	295358.mhp079	295358.mhp672	0.141	0	0.298	0	0.115	0.952	0	0	0.970
LepA	rpl4	295358.mhp079	295358.mhp188	0	0	0.309	0	0.115	0.952	0	0	0.968
LepA	rpsT	295358.mhp079	295358.mhp135	0.475	0	0	0	0.076	0.950	0	0	0.973
LepA	rpl3	295358.mhp079	295358.mhp187	0	0	0.156	0	0.115	0.950	0	0	0.959
LepA	rps8	295358.mhp079	295358.mhp202	0	0	0	0	0.115	0.950	0	0	0.953
LepA	rps5	295358.mhp079	295358.mhp205	0	0	0	0	0.135	0.952	0	0	0.956
LepA	rpl35	295358.mhp079	295358.mhp257	0.475	0	0	0	0.115	0.950	0	0	0.974
LepA	rps11	295358.mhp079	295358.mhp212	0	0	0	0	0.108	0.950	0	0	0.953
LepA	rps15	295358.mhp079	295358.mhp276	0.475	0	0	0	0.113	0.954	0	0	0.976
LepA	rpl20	295358.mhp079	295358.mhp258	0.475	0	0.233	0	0.115	0.950	0	0	0.979
LepA	rpl2	295358.mhp079	295358.mhp190	0	0	0	0	0.281	0.950	0	0	0.962
LepA	rpl17	295358.mhp079	295358.mhp214	0	0	0	0	0.231	0.992	0	0	0.993
LplA	lplA	295358.mhp323	295358.mhp125	0	0	0.783	0.705	0	0	0.800	0	0.845
LplA	pdhB	295358.mhp323	295358.mhp264	0.153	0	0	0	0.075	0	0.851	0	0.873
LplA	pdhA	295358.mhp323	295358.mhp265	0.153	0	0	0	0.072	0	0.851	0	0.872
LplA	baiH	295358.mhp323	295358.mhp322	0.919	0	0	0	0	0	0	0	0.919
LplA	prsA	295358.mhp323	295358.mhp675	0.068	0	0	0	0.072	0	0.851	0	0.859
LplA	PdhD	295358.mhp323	295358.mhp587	0.114	0	0	0	0.073	0	0.851	0	0.866
